time,Altitude,BatteryVolts,GPSFix,Latitude,Longitude,NumberOfSatellites,Pitch,Roll,VelocityX,VelocityY,VelocityZ,Yaw,blerDl,blerUl,brateDl,brateUl,buff,cc,cfo,mcsDl,mcsUl,num,pci,pl,rsrp,snr,ta_us,turbo
2024-10-22 23:39:45.815472,-0.0170000000,12.5870000000,6.0000000000,35.7274823000,-78.6962747000,10.0000000000,0.0010326466,0.0012490104,-0.0100000000,0.0100000000,0.0000000000,0.0227213829,0.0000000000,0.0000000000,3800.0000000000,27000.0000000000,0.0000000000,0.0000000000,-3.1,3.0000000000,22.0000000000,2.7040335666,1.0000000000,60.0000000000,-60.0000000000,74.0000000000,0.0000000000,1.0000000000
2024-10-22 23:39:46.815320,-0.0170000000,12.5870000000,6.0000000000,35.7274823000,-78.6962747000,10.0000000000,0.0010338730,0.0012555190,-0.0100000000,0.0100000000,0.0000000000,0.0227246763,0.3000000000,0.0000000000,2100000.0000000000,92000.0000000000,140.0000000000,0.0000000000,0.0037,26.0000000000,15.0000000000,3.7016935647,1.0000000000,68.0000000000,-68.0000000000,57.0000000000,0.0000000000,1.1000000000
2024-10-22 23:39:47.815397,-0.0170000000,12.5870000000,6.0000000000,35.7274823000,-78.6962747000,10.0000000000,0.0010294285,0.0012488753,-0.0100000000,0.0100000000,0.0000000000,0.0227113632,0.0000000000,0.0000000000,14000000.0000000000,418000.0000000000,1200.0000000000,0.0000000000,-105u,27.0000000000,16.0000000000,4.6993604125,1.0000000000,68.0000000000,-68.0000000000,70.0000000000,0.0000000000,1.0000000000
2024-10-22 23:39:48.815389,-0.0170000000,12.5870000000,6.0000000000,35.7274823000,-78.6962747000,10.0000000000,0.0010221423,0.0012402398,-0.0100000000,0.0100000000,0.0000000000,0.0226844127,0.0000000000,0.0000000000,22000000.0000000000,536000.0000000000,286.0000000000,0.0000000000,109u,27.0000000000,17.0000000000,5.6970798212,1.0000000000,68.0000000000,-68.0000000000,70.0000000000,0.0000000000,1.0000000000
2024-10-22 23:39:49.815320,-0.0170000000,12.5870000000,6.0000000000,35.7274823000,-78.6962747000,10.0000000000,0.0010238194,0.0012380909,-0.0100000000,0.0100000000,0.0000000000,0.0226632771,0.0000000000,0.0000000000,28000000.0000000000,594000.0000000000,446.0000000000,0.0000000000,384u,27.0000000000,18.0000000000,6.6948651674,1.0000000000,68.0000000000,-68.0000000000,70.0000000000,0.0000000000,1.0000000000
2024-10-22 23:39:50.815406,-0.0038391231,12.5870000000,6.0000000000,35.7274823000,-78.6962747000,10.0000000000,0.0010386861,0.0012455152,-0.0100000000,0.0100000000,0.0000000000,0.0226550061,0.0000000000,0.0000000000,30000000.0000000000,681000.0000000000,156.0000000000,0.0000000000,272u,27.0000000000,18.0000000000,7.6926777291,1.0000000000,68.0000000000,-68.0000000000,70.0000000000,0.0000000000,1.0000000000
2024-10-22 23:39:51.815350,0.0020000000,12.5870000000,6.0000000000,35.7274823000,-78.6962747000,10.0000000000,0.0011695510,0.0013868473,-0.0030928432,0.0030928432,0.0000000000,0.0226568486,0.0000000000,0.0000000000,34000000.0000000000,829000.0000000000,834.0000000000,0.0000000000,438u,27.0000000000,21.0000000000,8.6907156820,1.0000000000,68.0000000000,-68.0000000000,70.0000000000,0.0000000000,1.0000000000
2024-10-22 23:39:52.815383,0.0020000000,12.5870000000,6.0000000000,35.7274823000,-78.6962747000,10.0000000000,0.0014296966,0.0016472125,0.0000000000,0.0000000000,0.0000000000,0.0226606477,0.0000000000,0.0000000000,34000000.0000000000,812000.0000000000,779.0000000000,0.0000000000,394u,27.0000000000,22.0000000000,9.6886677873,1.0000000000,68.0000000000,-68.0000000000,70.0000000000,0.0000000000,1.0000000000
2024-10-22 23:39:53.815411,0.0020000000,12.5870000000,6.0000000000,35.7274823000,-78.6962747000,10.0000000000,0.0017328845,0.0019489059,0.0000000000,0.0000000000,0.0000000000,0.0226896936,0.0000000000,0.0000000000,34000000.0000000000,820000.0000000000,890.0000000000,0.0000000000,709u,27.0000000000,22.0000000000,10.6871318863,1.0000000000,68.0000000000,-68.0000000000,70.0000000000,0.0000000000,1.0000000000
2024-10-22 23:39:54.815293,0.0020000000,12.5870000000,6.0000000000,35.7274823000,-78.6962747000,10.0000000000,0.0020539290,0.0022649354,0.0000000000,0.0000000000,0.0000000000,0.0227439549,0.0000000000,0.0000000000,34000000.0000000000,799000.0000000000,834.0000000000,0.0000000000,457u,27.0000000000,22.0000000000,11.6852135761,1.0000000000,68.0000000000,-68.0000000000,70.0000000000,0.0000000000,1.0000000000
