time,Altitude,BatteryVolts,GPSFix,Latitude,Longitude,NumberOfSatellites,Pitch,Roll,VelocityX,VelocityY,VelocityZ,Yaw,blerDl,blerUl,brateDl,brateUl,buff,cc,cfo,mcsDl,mcsUl,num,pci,pl,rsrp,snr,ta_us,turbo
2024-10-23 01:05:22.103999,-0.0170000000,12.5870000000,6.0000000000,35.7274823000,-78.6962747000,10.0000000000,0.0009845228,0.0012108463,-0.0100000000,0.0100000000,0.0000000000,-0.0069347200,0.0000000000,0.0000000000,3200000.0000000000,167000.0000000000,168.0000000000,0.0000000000,0.44,20.0000000000,18.0000000000,3.2079024138,1.0000000000,70.0000000000,-70.0000000000,67.0000000000,0.0000000000,1.0000000000
2024-10-23 01:05:23.103865,-0.0170000000,12.5870000000,6.0000000000,35.7274823000,-78.6962747000,10.0000000000,0.0009924594,0.0012066999,-0.0100000000,0.0100000000,0.0000000000,-0.0065526165,0.0000000000,0.0000000000,14000000.0000000000,406000.0000000000,57.0000000000,0.0000000000,-0.004200000000000001,26.0000000000,15.0000000000,4.2060770936,1.0000000000,70.0000000000,-70.0000000000,68.0000000000,0.0000000000,1.0000000000
2024-10-23 01:05:24.103878,-0.0170000000,12.5870000000,6.0000000000,35.7274823000,-78.6962747000,10.0000000000,0.0009948263,0.0012058155,-0.0100000000,0.0100000000,0.0000000000,-0.0061651922,0.0000000000,0.0000000000,14000000.0000000000,384000.0000000000,446.0000000000,0.0000000000,-0.0040999999999999995,26.0000000000,15.0000000000,5.2038582554,1.0000000000,70.0000000000,-70.0000000000,68.0000000000,0.0000000000,1.0000000000
2024-10-23 01:05:25.103824,-0.0170000000,12.5870000000,6.0000000000,35.7274823000,-78.6962747000,10.0000000000,0.0009970147,0.0012099979,-0.0100000000,0.0100000000,0.0000000000,-0.0057918598,0.0000000000,0.0000000000,14000000.0000000000,362000.0000000000,329.0000000000,0.0000000000,-0.0046,26.0000000000,15.0000000000,6.2019206232,1.0000000000,70.0000000000,-70.0000000000,68.0000000000,0.0000000000,1.0000000000
2024-10-23 01:05:26.104073,-0.0170000000,12.5870000000,6.0000000000,35.7274823000,-78.6962747000,10.0000000000,0.0010086710,0.0012148429,-0.0100000000,0.0100000000,0.0000000000,-0.0054254571,0.0000000000,0.0000000000,14000000.0000000000,395000.0000000000,168.0000000000,0.0000000000,-0.0044,26.0000000000,15.0000000000,7.2008139865,1.0000000000,70.0000000000,-70.0000000000,68.0000000000,0.0000000000,1.0000000000
2024-10-23 01:05:27.103906,-0.0170000000,12.5870000000,6.0000000000,35.7274823000,-78.6962747000,10.0000000000,0.0010078558,0.0012100661,-0.0100000000,0.0100000000,0.0000000000,-0.0050621267,0.0000000000,0.0000000000,14000000.0000000000,359000.0000000000,57.0000000000,0.0000000000,-0.0045000000000000005,26.0000000000,16.0000000000,8.1987226491,1.0000000000,70.0000000000,-70.0000000000,68.0000000000,0.0000000000,1.0000000000
2024-10-23 01:05:28.103854,-0.0132585742,12.5870000000,6.0000000000,35.7274823000,-78.6962747000,10.0000000000,0.0010134047,0.0012069754,-0.0100000000,0.0100000000,0.0000000000,-0.0046931543,0.0000000000,0.0000000000,14000000.0000000000,385000.0000000000,325.0000000000,0.0000000000,-0.0043,26.0000000000,15.0000000000,9.1969171495,1.0000000000,70.0000000000,-70.0000000000,68.0000000000,0.0000000000,1.0000000000
2024-10-23 01:05:29.103911,0.0020000000,12.5870000000,6.0000000000,35.7274823000,-78.6962747000,10.0000000000,0.0010687649,0.0012630577,-0.0080526062,0.0080526062,0.0000000000,-0.0043249171,0.0000000000,0.0000000000,14000000.0000000000,368000.0000000000,113.0000000000,0.0000000000,-0.0043,26.0000000000,15.0000000000,10.1947393751,1.0000000000,70.0000000000,-70.0000000000,68.0000000000,0.0000000000,1.0000000000
2024-10-23 01:05:30.103892,0.0020000000,12.5870000000,6.0000000000,35.7274823000,-78.6962747000,10.0000000000,0.0012905286,0.0014733807,0.0000000000,0.0000000000,0.0000000000,-0.0039513817,0.0000000000,0.0000000000,14000000.0000000000,374000.0000000000,57.0000000000,0.0000000000,-0.0044,26.0000000000,16.0000000000,11.1924788409,1.0000000000,70.0000000000,-70.0000000000,68.0000000000,0.0000000000,1.0000000000
2024-10-23 01:05:31.103928,0.0020000000,12.5870000000,6.0000000000,35.7274823000,-78.6962747000,10.0000000000,0.0015751151,0.0017590326,0.0000000000,0.0000000000,0.0000000000,-0.0035640355,0.0000000000,0.0000000000,14000000.0000000000,373000.0000000000,180.0000000000,0.0000000000,-0.004,26.0000000000,15.0000000000,12.1899018771,1.0000000000,70.0000000000,-70.0000000000,68.0000000000,0.0000000000,1.0000000000
2024-10-23 01:05:32.103917,0.0020000000,12.5870000000,6.0000000000,35.7274823000,-78.6962747000,10.0000000000,0.0018831623,0.0020685280,0.0000000000,0.0000000000,0.0000000000,-0.0031455072,0.0000000000,0.0000000000,14000000.0000000000,388000.0000000000,57.0000000000,0.0000000000,-0.0043,26.0000000000,15.0000000000,13.1874105559,1.0000000000,70.0000000000,-70.0000000000,68.0000000000,0.0000000000,1.0000000000
2024-10-23 01:05:33.103937,0.0229529867,12.5870000000,6.0000000000,35.7274823000,-78.6962747000,10.0000000000,0.0022003795,0.0023859217,0.0000000000,0.0000000000,-0.0667528780,-0.0027126779,0.0000000000,0.0000000000,14000000.0000000000,381000.0000000000,224.0000000000,0.0000000000,-0.004200000000000001,26.0000000000,15.0000000000,14.1854246612,1.0000000000,70.0000000000,-70.0000000000,68.0000000000,0.0000000000,1.0000000000
