time, longitude, latitude, altitude, speed, rsrp, snr, datarate, Prx
2025-03-28 03:36:50.520, -78.696274700000, 35.727482300000, 0.000000000000, , -53.000000000000, 37.000000000000, 7.347098518821, -53.000000000000
2025-03-28 03:36:51.517, -78.696274700000, 35.727482300000, 0.473288848903, , -53.000000000000, 37.000000000000, 7.347098518821, -53.000000000000
2025-03-28 03:36:52.518, -78.696274700000, 35.727482300000, 0.473288848903, , -53.000000000000, 37.000000000000, 7.347098518821, -53.000000000000
2025-03-28 03:36:53.535, -78.696274700000, 35.727482300000, 0.473288848903, , -53.000000000000, 37.000000000000, 7.347098518821, -53.000000000000
2025-03-28 03:36:54.542, -78.696274700000, 35.727482300000, 2.824948355966, , -53.000000000000, 37.000000000000, 7.347098518821, -53.000000000000
2025-03-28 03:36:55.540, -78.696274700000, 35.727482300000, 5.655776983862, , -53.000000000000, 37.000000000000, 7.347098518821, -53.000000000000
2025-03-28 03:36:56.541, -78.696274700000, 35.727482300000, 8.241041075015, , -53.000000000000, 37.000000000000, 7.347098518821, -53.000000000000
2025-03-28 03:36:57.547, -78.696274700000, 35.727482300000, 10.790764683306, , -53.000000000000, 37.000000000000, 7.347098518821, -53.000000000000
2025-03-28 03:36:58.559, -78.696274700000, 35.727482300000, 13.707958347136, , -53.000000000000, 37.000000000000, 7.347098518821, -53.000000000000
2025-03-28 03:36:59.563, -78.696274700000, 35.727482300000, 15.993797365956, , -53.000000000000, 37.000000000000, 7.347098518821, -53.000000000000
2025-03-28 03:37:00.568, -78.696274700000, 35.727482300000, 18.750997595067, , -53.000000000000, 37.000000000000, 7.347098518821, -53.000000000000
2025-03-28 03:37:01.580, -78.696274700000, 35.727482300000, 21.504726689345, , -53.000000000000, 37.000000000000, 7.347098518821, -53.000000000000
2025-03-28 03:37:02.591, -78.696274700000, 35.727482300000, 23.885172536321, , -53.000000000000, 37.000000000000, 7.347098518821, -53.000000000000
2025-03-28 03:37:03.606, -78.696274700000, 35.727482300000, 26.452994177046, , -53.000000000000, 37.000000000000, 7.347098518821, -53.000000000000
2025-03-28 03:37:04.612, -78.696274700000, 35.727482300000, 28.528848466609, , -53.000000000000, 37.000000000000, 7.347098518821, -53.000000000000
2025-03-28 03:37:05.620, -78.696274700000, 35.727482300000, 30.000000000000, , -54.000000000000, 36.000000000000, 7.293234711881, -54.000000000000
2025-03-28 03:37:06.626, -78.696224740097, 35.727484302016, 30.000000000000, 5.000000000000, -53.000000000000, 37.000000000000, 7.347098518821, -53.000000000000
2025-03-28 03:37:07.640, -78.696158731638, 35.727451563422, 30.000000000000, 5.000000000000, -52.000000000000, 38.000000000000, 7.399563106407, -52.000000000000
2025-03-28 03:37:08.650, -78.696257905906, 35.727464387793, 30.000000000000, 10.000000000000, -53.000000000000, 37.000000000000, 7.347098518821, -53.000000000000
2025-03-28 03:37:09.652, -78.696555428711, 35.727502860909, 30.000000000000, 10.000000000000, -57.000000000000, 33.000000000000, 7.122447977750, -57.000000000000
2025-03-28 03:37:10.655, -78.696852951516, 35.727541334024, 30.000000000000, 10.000000000000, -60.000000000000, 30.000000000000, 6.935874834542, -60.000000000000
2025-03-28 03:37:11.667, -78.697150474320, 35.727579807140, 30.000000000000, 10.000000000000, -62.000000000000, 28.000000000000, 6.801173393179, -62.000000000000
2025-03-28 03:37:12.735, -78.697547171394, 35.727631104627, 30.000000000000, 10.000000000000, -65.000000000000, 25.000000000000, 6.580615605398, -65.000000000000
2025-03-28 03:37:13.679, -78.697844694198, 35.727669577742, 30.000000000000, 10.000000000000, -66.000000000000, 24.000000000000, 6.501398665685, -66.000000000000
2025-03-28 03:37:14.682, -78.698142217003, 35.727708050858, 30.000000000000, 10.000000000000, -67.000000000000, 23.000000000000, 6.418947501010, -67.000000000000
2025-03-28 03:37:15.698, -78.698439739808, 35.727746523973, 30.000000000000, 10.000000000000, -68.000000000000, 22.000000000000, 6.332986738480, -68.000000000000
2025-03-28 03:37:16.772, -78.698836436881, 35.727797821460, 30.000000000000, 10.000000000000, -69.000000000000, 21.000000000000, 6.243204266092, -69.000000000000
2025-03-28 03:37:17.719, -78.699133959686, 35.727836294576, 30.000000000000, 10.000000000000, -70.000000000000, 20.000000000000, 6.149244391890, -70.000000000000
2025-03-28 03:37:18.720, -78.699431482491, 35.727874767691, 30.000000000000, 10.000000000000, -71.000000000000, 19.000000000000, 6.050699332842, -71.000000000000
2025-03-28 03:37:19.735, -78.699729005296, 35.727913240806, 30.000000000000, 10.000000000000, -72.000000000000, 18.000000000000, 5.947098518821, -72.000000000000
2025-03-28 03:37:20.735, -78.700026528100, 35.727951713922, 30.000000000000, 10.000000000000, -72.000000000000, 18.000000000000, 5.947098518821, -72.000000000000
2025-03-28 03:37:21.739, -78.700175289503, 35.727970950480, 30.000000000000, 5.000000000000, -73.000000000000, 17.000000000000, 5.837895002019, -73.000000000000
2025-03-28 03:37:22.752, -78.700324050905, 35.727990187037, 30.000000000000, 5.000000000000, -73.000000000000, 17.000000000000, 5.837895002019, -73.000000000000
2025-03-28 03:37:23.829, -78.700503341606, 35.728049021094, 30.000000000000, 5.000000000000, -73.000000000000, 17.000000000000, 5.837895002019, -73.000000000000
2025-03-28 03:37:24.780, -78.700542850930, 35.728134875136, 30.000000000000, 5.000000000000, -73.000000000000, 17.000000000000, 5.837895002019, -73.000000000000
2025-03-28 03:37:25.795, -78.700460921547, 35.728317323968, 30.000000000000, 10.000000000000, -73.000000000000, 17.000000000000, 5.837895002019, -73.000000000000
